postcode,avg_price_2025,avg_price_2020,price_change_pct,label
SG2 7NZ,650000.0,362500.0,79.3103448275862,Gentrifying
AL3 5EN,1250000.0,477000.0,162.0545073375262,Gentrifying
EN4 8HG,575000.0,300000.0,91.66666666666666,Gentrifying
SG15 6RP,552500.0,247500.0,123.23232323232322,Gentrifying
WD17 1PB,190000.0,95000.0,100.0,Gentrifying
HP9 2YX,362000.0,216166.66666666663,67.46337702390132,Gentrifying
HP23 5NG,1675000.0,1165000.0,43.776824034334766,Gentrifying
WD6 2HA,1400000.0,678600.0,106.307102858827,Gentrifying
SG11 1EQ,475000.0,318000.0,49.37106918238994,Gentrifying
SG4 7LN,760000.0,530000.0,43.39622641509434,Gentrifying
SG18 8GG,450000.0,270000.0,66.66666666666666,Gentrifying
HP20 2JN,390000.0,200000.0,95.0,Gentrifying
EN6 1UY,1095000.0,769983.3333333334,42.210870365159415,Gentrifying
WD4 8QL,481500.0,222000.0,116.89189189189187,Gentrifying
SG2 7JP,607500.0,423333.3333333333,43.50393700787402,Gentrifying
WD7 8HH,1250000.0,755000.0,65.56291390728477,Gentrifying
SG13 7GA,266000.0,160000.0,66.25,Gentrifying
AL2 1UL,294166.6666666667,191666.66666666663,53.47826086956523,Gentrifying
EN1 4TP,515000.0,326000.0,57.97546012269939,Gentrifying
EN3 7DH,457500.0,262500.0,74.28571428571429,Gentrifying
EN5 5EL,464000.0,300000.0,54.66666666666666,Gentrifying
AL4 9NW,410000.0,241500.0,69.77225672877847,Gentrifying
EN6 4HD,310000.0,210000.0,47.61904761904761,Gentrifying
SG14 2HD,402500.0,242000.0,66.32231404958677,Gentrifying
AL3 4PA,569000.0,340000.0,67.3529411764706,Gentrifying
SG19 2PA,422500.0,272000.0,55.33088235294118,Gentrifying
HP22 0AN,960000.0,592200.0,62.10739614994935,Gentrifying
SG1 4ET,370000.0,238250.0,55.299055613851,Gentrifying
SG12 7NL,483620.0,318000.0,52.081761006289305,Gentrifying
HP12 4SP,500000.0,380000.0,31.57894736842105,At Risk
SG5 4DZ,352500.0,302500.0,16.528925619834713,At Risk
HP13 7XU,378000.0,292000.0,29.45205479452055,At Risk
SG1 6AB,320000.0,257000.0,24.5136186770428,At Risk
SG14 1RP,490000.0,414875.0,18.107863814401927,At Risk
HP21 8RR,220000.0,175250.0,25.53495007132668,At Risk
SG1 5PY,342000.0,263000.0,30.03802281368821,At Risk
AL10 9ET,195000.0,145100.0,34.39007580978635,At Risk
WD18 0DL,550000.0,445000.0,23.59550561797753,At Risk
HP13 7AN,464000.0,362000.0,28.176795580110497,At Risk
WD3 7DF,1257500.0,910000.0,38.18681318681318,At Risk
SG18 8AG,308750.0,262500.0,17.61904761904762,At Risk
EN10 6GF,261250.0,206666.66666666663,26.411290322580648,At Risk
HP5 3HN,357250.0,291000.0,22.766323024054984,At Risk
HP18 0WB,415000.0,327948.3333333333,26.544323546900177,At Risk
SG2 8TP,323000.0,251000.0,28.68525896414343,At Risk
EN3 6QF,445000.0,370000.0,20.27027027027027,At Risk
WD25 9AE,200000.0,160000.0,25.0,At Risk
HP7 9ER,561000.0,425000.0,32.0,At Risk
WD6 2RB,420000.0,355000.0,18.30985915492958,At Risk
AL7 3HJ,435000.0,330000.0,31.818181818181817,At Risk
SG1 2HW,335000.0,257166.66666666663,30.265716137394687,At Risk
EN4 8TU,725000.0,542500.0,33.6405529953917,At Risk
EN2 0BQ,590000.0,500000.0,18.0,At Risk
WD23 4QW,508000.0,391850.0,29.641444430266684,At Risk
AL10 0EH,498000.0,398333.3333333333,25.02092050209206,At Risk
HP19 7WA,158000.0,120500.0,31.12033195020747,At Risk
WD6 1PP,350000.0,254640.0,37.44894753377317,At Risk
HP22 6HG,640000.0,460000.0,39.130434782608695,At Risk
HP15 7DS,528750.0,440000.0,20.170454545454543,At Risk
HP3 9SL,350000.0,330250.0,5.980317940953823,Stable
HP1 1GG,617500.0,698750.0,-11.627906976744184,Stable
HP2 7QF,130000.0,167000.0,-22.15568862275449,Stable
WD23 4XF,145000.0,237500.0,-38.94736842105263,Stable
SG12 9FR,495000.0,522500.0,-5.263157894736842,Stable
EN3 6HG,415000.0,400000.0,3.75,Stable
SG2 0AJ,342500.0,320000.0,7.03125,Stable
AL10 9HG,445000.0,415000.0,7.228915662650602,Stable
HP13 5UY,562500.0,600000.0,-6.25,Stable
EN2 7AF,145000.0,383500.0,-62.190352020860495,Stable
HP2 7NB,212500.0,205000.0,3.658536585365853,Stable
HP2 7RF,148500.0,150000.0,-1.0,Stable
AL9 5JG,349000.0,440000.0,-20.681818181818183,Stable
SG3 6PR,757500.0,670000.0,13.059701492537313,Stable
AL1 1RY,276000.0,365000.0,-24.383561643835616,Stable
EN2 7AQ,350000.0,305000.0,14.754098360655735,Stable
HP1 1UF,157500.0,152500.0,3.278688524590164,Stable
SG13 8FQ,347500.0,377991.6666666667,-8.066756321788404,Stable
SG8 5AH,181750.0,159000.0,14.30817610062893,Stable
HP3 9GE,198000.0,245000.0,-19.18367346938776,Stable
HP9 2SZ,2220000.0,2375000.0,-6.526315789473684,Stable
HP3 9UE,425000.0,389000.0,9.254498714652955,Stable
AL3 8RX,390000.0,371500.0,4.979811574697174,Stable
EN4 9RQ,230000.0,242000.0,-4.958677685950414,Stable
HP11 1GX,330833.3333333333,425666.6666666667,-22.278778386844174,Stable
HP11 2FR,219750.0,292857.09523809527,-24.96340243307357,Stable
EN6 1UU,650000.0,610000.0,6.557377049180328,Stable
HP19 9RB,289041.6666666667,258125.0,11.97740112994351,Stable
EN8 7JU,170000.0,177000.0,-3.954802259887006,Stable
EN9 3BX,241500.0,253750.0,-4.827586206896552,Stable
